1;0;5;6;21;5;1;0;0;0;0
4;0;1;3;0;0;0;0;0;0;0
4;0;2;5;21;6;0;0;0;0;0
0;1;0;5;13;6;0;0;0;0;0
0;1;0;5;21;6;0;0;0;0;0
0;1;0;6;12;5;44;0;0;0;0
1;1;5;6;15;44;1;0;0;0;0
4;1;1;3;0;0;0;0;0;0;0
4;1;2;5;15;44;0;0;0;0;0
2;2;2;44;109;1;0;0;0;0;0
5;2;1;1;1;1;1;1;1;1;1
0;3;0;5;62;13;6;0;0;0;0
0;3;0;6;21;5;109;5;21;6;0
0;3;0;6;10;15;88;108;1;0;0
0;3;0;5;15;88;108;0;0;0;0
3;3;0;1;1;1;1;1;1;1;1
0;4;0;5;15;37;0;0;0;0;0
0;4;0;5;15;58;0;0;0;0;0
0;4;0;58;15;61;44;0;0;0;0
0;4;0;61;44;61;44;61;44;109;44
0;4;0;61;44;112;109;0;0;0;0
3;4;0;1;1;1;1;1;1;1;1
0;4;0;61;44;113;109;0;0;0;0
3;4;0;1;1;1;1;1;1;1;1
0;4;0;61;44;114;109;0;0;0;0
3;4;0;1;1;1;1;1;1;1;1
1;4;5;37;6;66;1;0;0;0;0
4;4;1;3;0;0;0;0;0;0;0
4;4;2;37;66;0;0;0;0;0;0
0;5;0;44;2;66;24;24;0;0;0
0;5;0;12;5;66;44;0;0;0;0
2;5;0;44;109;1;0;0;0;0;0
5;5;1;1;1;1;1;1;1;1;1
0;6;0;5;15;1;6;9;98;5;0
0;6;0;6;10;44;0;0;0;0;0
0;6;0;5;2;15;5;12;6;44;0
0;6;0;5;10;15;6;0;0;0;0
0;7;0;5;13;6;0;0;0;0;0
0;7;0;5;12;6;44;0;0;0;0
0;7;0;44;109;0;0;0;0;0;0
3;7;0;1;1;1;1;1;1;1;1
